;Ýstasyon;Parametre;Min. Deðer;Min. Tarih;Max. Deðer;Max. Tarih;Ort. Deðer;Veri Adeti;Olmasý Gereken Veri;Veri Yüzdesi;Standart Sapma;Toplam Deðer
;Ankara - Sincan;SO2;0,03;18.11.2011;314,47;5.04.2012;10,63;6199;14795;41,9;13,07;65909,65
;Ankara - Sincan;O3;1,29;26.01.2015;212,46;1.05.2012;38,71;5480;14795;37,04;24,91;212123,79
;Ankara - Sincan;PM25;0,42;23.04.2017;260,23;6.05.2019;24,15;5385;14795;36,4;20,33;130030,19
;Ankara - Sincan;KabinNem;2,16;26.11.2018;82,1;5.07.2010;30,85;3845;14795;25,99;15,67;118608,68
;Ankara - Sincan;SampleFlow;1,67;17.03.2020;2,01;31.12.2019;1,88;276;14795;1,87;0,06;518,97
;Ankara - Sincan;Enverziyon;0;6.01.2012;92,5;5.01.2012;31,32;54;14795;0,36;24,52;1691,11
;Ankara - Sincan;CO;55,6;31.08.2011;356,9;19.08.2011;264,64;26;14795;0,18;83,62;6880,57
;Ankara - Sincan;Benzen;125,08;19.08.2011;926,26;23.08.2011;891,85;26;14795;0,18;156,41;23188,16
;Ankara - Sincan;EtillBenzene;16,39;23.08.2011;44,13;19.08.2011;22,23;26;14795;0,18;5,83;578,02
;Ankara - Sincan;PM25Debi;21,73;31.08.2011;35,16;27.08.2011;26,99;26;14795;0,18;3,37;701,67
;Ankara - Sincan;Toulen;16,49;28.08.2011;39,44;19.08.2011;17,76;26;14795;0,18;4,44;461,73
;Ankara - Sincan;PM10Debi;9,61;19.08.2011;32,8;26.08.2011;20,81;12;14795;0,08;6,61;249,74
;Ankara - Sincan;ToplamKsilen;0;19.08.2011;1,4;23.08.2011;0,61;12;14795;0,08;0,59;7,29
;Ankara - Sincan;mKsilen;10,83;19.08.2011;32,33;26.08.2011;21,42;12;14795;0,08;6,06;257
;Ankara - Sincan;Debi;;;;;;0;14795;0;;0
;Ankara - Sincan;Sicaklik;;;;;;0;14795;0;;0
;Ankara - Sincan;Arsenik;;;;;;0;14795;0;;0
;Ankara - Sincan;BOS;;;;;;0;14795;0;;0
;Ankara - Sincan;CH4;;;;;;0;14795;0;;0
;Ankara - Sincan;CO_2;;;;;;0;14795;0;;0
;Ankara - Sincan;CS_tei;;;;;;0;14795;0;;0
;Ankara - Sincan;Cd;;;;;;0;14795;0;;0
;Ankara - Sincan;Elektrik;;;;;;0;14795;0;;0
;Ankara - Sincan;H2S_tei;;;;;;0;14795;0;;0
;Ankara - Sincan;HC;;;;;;0;14795;0;;0
;Ankara - Sincan;Hg;;;;;;0;14795;0;;0
;Ankara - Sincan;NMHC;;;;;;0;14795;0;;0
;Ankara - Sincan;Nem;;;;;;0;14795;0;;0
;Ankara - Sincan;Ni;;;;;;0;14795;0;;0
;Ankara - Sincan;OKsilen;;;;;;0;14795;0;;0
;Ankara - Sincan;PAH_BAP;;;;;;0;14795;0;;0
;Ankara - Sincan;PM1;;;;;;0;14795;0;;0
;Ankara - Sincan;PM10Debi_2;;;;;;0;14795;0;;0
;Ankara - Sincan;Pb;;;;;;0;14795;0;;0
;Ankara - Sincan;SO2Test;;;;;;0;14795;0;;0
;Ankara - Sincan;SolarRadyasyon;;;;;;0;14795;0;;0
;Ankara - Sincan;TestChannel;;;;;;0;14795;0;;0
;Ankara - Sincan;UVARadyasyonu;;;;;;0;14795;0;;0
;Ankara - Sincan;UVBRadyasyon;;;;;;0;14795;0;;0
;Ankara - Sincan;Yagmur;;;;;;0;14795;0;;0
;Ankara - Sincan;pKsilen;;;;;;0;14795;0;;0
Ýstasyon: Ankara - Siteler;;;;;;;;;;;;
;Ankara - Siteler;PM10;0,76;23.07.2019;805,28;12.02.2012;70,89;6831;14795;46,17;56,17;484283,12
;Ankara - Siteler;KabinSicakligi;1,11;6.04.2019;41,93;19.09.2011;18,4;6820;14795;46,1;3,44;125480,17
;Ankara - Siteler;SO2;0,06;7.09.2010;192,31;19.09.2011;11,65;6553;14795;44,29;11,04;76313,54
;Ankara - Siteler;CO;1,93;6.06.2016;303943,39;1.01.2010;1219,34;6295;14795;42,55;3913,96;7675747
;Ankara - Siteler;HavaSicakligi;-8,42;26.01.2010;127,9;6.04.2019;16,01;6249;14795;42,24;9,07;100044,28
;Ankara - Siteler;HavaBasinc;893,57;11.12.2010;1340,38;16.05.2015;1026,83;6249;14795;42,24;100,32;6416654,97
;Ankara - Siteler;RuzgarYon;56,09;29.12.2010;720;6.04.2019;199,99;6248;14795;42,23;66,83;1249525,49
;Ankara - Siteler;BagilNem;14,32;1.05.2010;146,5;6.04.2019;53,58;6246;14795;42,22;17,17;334678,89
;Ankara - Siteler;RuzgarHizi;0,21;27.10.2010;13,34;1.02.2015;6,02;6189;14795;41,83;4,91;37268,94
;Ankara - Siteler;NO;0;6.10.2019;681,58;19.12.2019;49,68;5946;14795;40,19;63,08;295417,53
;Ankara - Siteler;NO2;0;6.10.2019;819,79;7.02.2011;63,79;5944;14795;40,18;52,15;379187,58
;Ankara - Siteler;NOX;0;6.10.2019;1394,87;8.02.2011;114,05;5944;14795;40,18;101,15;677918,27
;Ankara - Siteler;O3;0,23;19.12.2014;187,71;27.03.2017;37,12;5894;14795;39,84;26,72;218770,11
;Ankara - Siteler;PM25;0;4.10.2019;1215,36;3.10.2019;35;4768;14795;32,23;40,49;166886,49
;Ankara - Siteler;KabinNem;5,23;12.04.2019;73,11;7.03.2011;41,11;3696;14795;24,98;8,31;151935,77
;Ankara - Siteler;GunesRadyasyon;3,16;23.02.2011;1967,49;6.04.2019;327,17;3071;14795;20,76;190,26;1004728,36
;Ankara - Siteler;SampleFlow;-2,42;4.10.2019;1,89;22.01.2020;0,93;336;14795;2,27;1,74;313,52
;Ankara - Siteler;Enverziyon;0;8.01.2012;89;31.12.2011;34,07;60;14795;0,41;24,03;2044,06
;Ankara - Siteler;PM10Debi;;;;;;0;14795;0;;0
;Ankara - Siteler;Debi;;;;;;0;14795;0;;0
;Ankara - Siteler;Sicaklik;;;;;;0;14795;0;;0
;Ankara - Siteler;Arsenik;;;;;;0;14795;0;;0
;Ankara - Siteler;BOS;;;;;;0;14795;0;;0
;Ankara - Siteler;Benzen;;;;;;0;14795;0;;0
;Ankara - Siteler;CH4;;;;;;0;14795;0;;0
;Ankara - Siteler;CO_2;;;;;;0;14795;0;;0
;Ankara - Siteler;CS_tei;;;;;;0;14795;0;;0
;Ankara - Siteler;Cd;;;;;;0;14795;0;;0
;Ankara - Siteler;Elektrik;;;;;;0;14795;0;;0
;Ankara - Siteler;EtillBenzene;;;;;;0;14795;0;;0
;Ankara - Siteler;H2S_tei;;;;;;0;14795;0;;0
;Ankara - Siteler;HC;;;;;;0;14795;0;;0
;Ankara - Siteler;Hg;;;;;;0;14795;0;;0
;Ankara - Siteler;NMHC;;;;;;0;14795;0;;0
;Ankara - Siteler;Nem;;;;;;0;14795;0;;0
;Ankara - Siteler;Ni;;;;;;0;14795;0;;0
;Ankara - Siteler;OKsilen;;;;;;0;14795;0;;0
;Ankara - Siteler;PAH_BAP;;;;;;0;14795;0;;0
;Ankara - Siteler;PM1;;;;;;0;14795;0;;0
;Ankara - Siteler;PM10Debi_2;;;;;;0;14795;0;;0
;Ankara - Siteler;PM25Debi;;;;;;0;14795;0;;0
;Ankara - Siteler;Pb;;;;;;0;14795;0;;0
;Ankara - Siteler;SO2Test;;;;;;0;14795;0;;0
;Ankara - Siteler;SolarRadyasyon;;;;;;0;14795;0;;0
;Ankara - Siteler;TestChannel;;;;;;0;14795;0;;0
;Ankara - Siteler;ToplamKsilen;;;;;;0;14795;0;;0
;Ankara - Siteler;Toulen;;;;;;0;14795;0;;0
;Ankara - Siteler;UVARadyasyonu;;;;;;0;14795;0;;0
;Ankara - Siteler;UVBRadyasyon;;;;;;0;14795;0;;0
;Ankara - Siteler;Yagmur;;;;;;0;14795;0;;0
;Ankara - Siteler;mKsilen;;;;;;0;14795;0;;0
;Ankara - Siteler;pKsilen;;;;;;0;14795;0;;0
