;Ýstasyon;Parametre;Min. Deðer;Min. Tarih;Max. Deðer;Max. Tarih;Ort. Deðer;Veri Adeti;Olmasý Gereken Veri;Veri Yüzdesi;Standart Sapma;Toplam Deðer
;Ankara - Demetevler;BagilNem;5,32;29.09.2012;104,14;6.01.2016;50,94;6022;14795;40,7;19,22;306782,29
;Ankara - Demetevler;RuzgarYon;26,19;28.01.2010;335,65;6.02.2008;203,22;5805;14795;39,24;43,31;1179706,5
;Ankara - Demetevler;PM25;0;5.07.2008;7457,43;4.07.2008;34,14;5243;14795;35,44;146,06;178987,05
;Ankara - Demetevler;KabinNem;-0,02;16.06.2016;104622,87;11.12.2019;57,94;3044;14795;20,57;1895,99;176356,61
;Ankara - Demetevler;SampleFlow;1,92;19.02.2020;1,92;19.02.2020;1,92;86;14795;0,58;0;165,12
;Ankara - Demetevler;Enverziyon;0;8.09.2011;86,25;5.01.2012;22,86;79;14795;0,53;25,28;1806,13
;Ankara - Demetevler;Arsenik;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Demetevler;Benzen;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Demetevler;CH4;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Demetevler;Cd;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Demetevler;EtillBenzene;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Demetevler;HC;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Demetevler;Hg;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Demetevler;NMHC;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Demetevler;Ni;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Demetevler;OKsilen;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Demetevler;PAH_BAP;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Demetevler;Pb;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Demetevler;ToplamKsilen;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Demetevler;Toulen;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Demetevler;UVARadyasyonu;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Demetevler;UVBRadyasyon;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Demetevler;mKsilen;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Demetevler;pKsilen;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Demetevler;PM10Debi;;;;;;0;14795;0;;0
;Ankara - Demetevler;CO;;;;;;0;14795;0;;0
;Ankara - Demetevler;O3;;;;;;0;14795;0;;0
;Ankara - Demetevler;Debi;;;;;;0;14795;0;;0
;Ankara - Demetevler;Sicaklik;;;;;;0;14795;0;;0
;Ankara - Demetevler;BOS;;;;;;0;14795;0;;0
;Ankara - Demetevler;CO_2;;;;;;0;14795;0;;0
;Ankara - Demetevler;CS_tei;;;;;;0;14795;0;;0
;Ankara - Demetevler;Elektrik;;;;;;0;14795;0;;0
;Ankara - Demetevler;H2S_tei;;;;;;0;14795;0;;0
;Ankara - Demetevler;Nem;;;;;;0;14795;0;;0
;Ankara - Demetevler;PM1;;;;;;0;14795;0;;0
;Ankara - Demetevler;PM10Debi_2;;;;;;0;14795;0;;0
;Ankara - Demetevler;PM25Debi;;;;;;0;14795;0;;0
;Ankara - Demetevler;SO2Test;;;;;;0;14795;0;;0
;Ankara - Demetevler;SolarRadyasyon;;;;;;0;14795;0;;0
;Ankara - Demetevler;TestChannel;;;;;;0;14795;0;;0
;Ankara - Demetevler;Yagmur;;;;;;0;14795;0;;0
Ýstasyon: Ankara - Kayaþ;;;;;;;;;;;;
;Ankara - Kayaþ;HavaSicakligi;-42,1;27.12.2011;36,6;27.07.2012;12,56;7414;14795;50,11;9,25;93139,28
;Ankara - Kayaþ;HavaBasinc;886,26;19.08.2011;1086,42;5.12.2015;993,48;7414;14795;50,11;51,17;7365641,51
;Ankara - Kayaþ;BagilNem;-13,03;27.12.2011;100,46;7.01.2014;42,98;7414;14795;50,11;16,62;318656,75
;Ankara - Kayaþ;KabinSicakligi;4,19;10.01.2019;43,43;11.08.2012;18,87;7356;14795;49,72;3,08;138820,58
;Ankara - Kayaþ;PM10;0,27;11.03.2020;17965,93;15.05.2008;75,54;7084;14795;47,88;241,45;535133,8
;Ankara - Kayaþ;RuzgarHizi;-42,57;19.12.2019;53,2;5.02.2020;3,96;6991;14795;47,25;6,37;27669,98
;Ankara - Kayaþ;RuzgarYon;39,02;15.01.2012;648,17;31.10.2014;196,43;6990;14795;47,25;79,83;1373054,61
;Ankara - Kayaþ;GunesRadyasyon;-3751,97;1.06.2017;3785,07;25.04.2019;-1526,24;6747;14795;45,6;1843,65;-10297513,22
;Ankara - Kayaþ;SO2;0,12;3.02.2015;144,54;27.12.2010;11,94;6415;14795;43,36;13,33;76577,84
;Ankara - Kayaþ;NO;0,22;12.07.2008;369,33;27.12.2011;32,63;5622;14795;38;36,37;183430,35
;Ankara - Kayaþ;NO2;0,94;25.01.2018;319,4;26.12.2012;49,26;5621;14795;37,99;35,1;276907,05
;Ankara - Kayaþ;NOX;1,44;25.01.2018;593,26;8.01.2014;82,03;5621;14795;37,99;64,78;461066,87
;Ankara - Kayaþ;PM25;0;23.04.2008;7882,21;13.05.2008;35,57;5367;14795;36,28;174,5;190912,2
;Ankara - Kayaþ;KabinNem;17,54;25.01.2018;71,14;25.05.2008;38,77;4235;14795;28,62;9,04;164210,52
;Ankara - Kayaþ;Enverziyon;0;8.09.2011;88,5;31.12.2011;24,49;86;14795;0,58;25,23;2106,14
;Ankara - Kayaþ;PM10Debi;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Kayaþ;CO;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Kayaþ;O3;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Kayaþ;Arsenik;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Kayaþ;Benzen;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Kayaþ;CH4;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Kayaþ;Cd;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Kayaþ;EtillBenzene;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Kayaþ;HC;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Kayaþ;Hg;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Kayaþ;NMHC;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Kayaþ;Ni;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Kayaþ;OKsilen;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Kayaþ;PAH_BAP;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Kayaþ;PM25Debi;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Kayaþ;Pb;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Kayaþ;ToplamKsilen;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Kayaþ;Toulen;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Kayaþ;UVARadyasyonu;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Kayaþ;UVBRadyasyon;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Kayaþ;mKsilen;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Kayaþ;pKsilen;0;8.09.2011;0;8.09.2011;0;23;14795;0,16;0;0
;Ankara - Kayaþ;Debi;;;;;;0;14795;0;;0
;Ankara - Kayaþ;Sicaklik;;;;;;0;14795;0;;0
;Ankara - Kayaþ;BOS;;;;;;0;14795;0;;0
;Ankara - Kayaþ;CO_2;;;;;;0;14795;0;;0
;Ankara - Kayaþ;CS_tei;;;;;;0;14795;0;;0
;Ankara - Kayaþ;Elektrik;;;;;;0;14795;0;;0
;Ankara - Kayaþ;H2S_tei;;;;;;0;14795;0;;0
;Ankara - Kayaþ;Nem;;;;;;0;14795;0;;0
;Ankara - Kayaþ;PM1;;;;;;0;14795;0;;0
;Ankara - Kayaþ;PM10Debi_2;;;;;;0;14795;0;;0
;Ankara - Kayaþ;SO2Test;;;;;;0;14795;0;;0
;Ankara - Kayaþ;SampleFlow;;;;;;0;14795;0;;0
;Ankara - Kayaþ;SolarRadyasyon;;;;;;0;14795;0;;0
;Ankara - Kayaþ;TestChannel;;;;;;0;14795;0;;0
;Ankara - Kayaþ;Yagmur;;;;;;0;14795;0;;0
Ýstasyon: Ankara - Keçiören Sanatoryum;;;;;;;;;;;;
;Ankara - Keçiören Sanatoryum;KabinSicakligi;-10,99;4.11.2014;39,75;17.12.2010;17,29;7270;14795;49,14;7,59;125701,17
;Ankara - Keçiören Sanatoryum;HavaBasinc;14,56;19.06.2015;24206,44;12.06.2019;1134;7199;14795;48,66;1820,48;8163636,47
;Ankara - Keçiören Sanatoryum;HavaSicakligi;-19,17;2.02.2012;39,74;27.07.2012;12,98;7110;14795;48,06;10,41;92297,45
;Ankara - Keçiören Sanatoryum;BagilNem;6,77;20.05.2015;104,48;21.12.2014;55,26;7095;14795;47,96;20,51;392051,75
;Ankara - Keçiören Sanatoryum;PM10;0;1.06.2008;7464,63;2.05.2008;62,79;6878;14795;46,49;159,39;431886,88
